Date,State,Confirmed,Death,Cured
4/1/2020,Bihar,23,1,0
4/2/2020,Bihar,23,1,0
4/3/2020,Bihar,24,1,0
4/4/2020,Bihar,29,1,0
4/5/2020,Bihar,30,1,0
4/6/2020,Bihar,30,1,0
4/7/2020,Bihar,32,1,0
4/8/2020,Bihar,38,1,0
4/9/2020,Bihar,38,1,0
4/10/2020,Bihar,39,1,0
4/11/2020,Bihar,60,1,0
4/12/2020,Bihar,63,1,0
4/13/2020,Bihar,64,1,19
4/14/2020,Bihar,66,1,26
4/15/2020,Bihar,66,1,29
4/16/2020,Bihar,70,1,29
4/17/2020,Bihar,83,1,37
4/18/2020,Bihar,83,2,37
4/19/2020,Bihar,86,2,37
4/20/2020,Bihar,93,2,42
4/21/2020,Bihar,113,2,42
4/22/2020,Bihar,126,2,42
4/23/2020,Bihar,143,2,46
4/24/2020,Bihar,153,2,46
4/25/2020,Bihar,223,2,46
4/26/2020,Bihar,243,2,46
4/27/2020,Bihar,274,2,56
4/28/2020,Bihar,345,2,57
4/29/2020,Bihar,366,2,64
4/30/2020,Bihar,392,2,65
