Date,State,Confirmed,Death,Cured
3/22/2020,Bihar,2,1,0
3/23/2020,Bihar,2,1,0
3/24/2020,Bihar,3,1,0
3/25/2020,Bihar,4,1,0
3/26/2020,Bihar,6,1,0
3/27/2020,Bihar,6,1,0
3/28/2020,Bihar,9,1,0
3/29/2020,Bihar,9,1,0
3/30/2020,Bihar,11,1,0
3/31/2020,Bihar,15,1,0
4/1/2020,Bihar,23,1,0
4/2/2020,Bihar,23,1,0
4/3/2020,Bihar,24,1,0
4/4/2020,Bihar,29,1,0
4/5/2020,Bihar,30,1,0
4/6/2020,Bihar,30,1,0
4/7/2020,Bihar,32,1,0
4/8/2020,Bihar,38,1,0
4/9/2020,Bihar,38,1,0
4/10/2020,Bihar,39,1,0
4/11/2020,Bihar,60,1,0
4/12/2020,Bihar,63,1,0
4/13/2020,Bihar,64,1,19
4/14/2020,Bihar,66,1,26
4/15/2020,Bihar,66,1,29
4/16/2020,Bihar,70,1,29
4/17/2020,Bihar,83,1,37
4/18/2020,Bihar,83,2,37
4/19/2020,Bihar,86,2,37
4/20/2020,Bihar,93,2,42
4/21/2020,Bihar,113,2,42
4/22/2020,Bihar,126,2,42
4/23/2020,Bihar,143,2,46
4/24/2020,Bihar,153,2,46
4/25/2020,Bihar,223,2,46
4/26/2020,Bihar,243,2,46
4/27/2020,Bihar,274,2,56
4/28/2020,Bihar,345,2,57
4/29/2020,Bihar,366,2,64
4/30/2020,Bihar,392,2,65
5/1/2020,Bihar,418,2,82
5/2/2020,Bihar,471,3,98
5/3/2020,Bihar,481,4,107
5/4/2020,Bihar,503,4,125
5/5/2020,Bihar,528,4,130
5/6/2020,Bihar,536,4,142
5/7/2020,Bihar,542,4,188
5/8/2020,Bihar,550,5,246
5/9/2020,Bihar,571,5,297
5/10/2020,Bihar,591,5,322
5/11/2020,Bihar,696,6,365
5/12/2020,Bihar,747,6,377
5/13/2020,Bihar,831,6,383
5/14/2020,Bihar,940,7,388
5/15/2020,Bihar,994,7,411
5/16/2020,Bihar,1018,7,438
5/17/2020,Bihar,1179,7,453
5/18/2020,Bihar,1262,8,475
5/19/2020,Bihar,1391,9,494
5/20/2020,Bihar,1498,9,534
5/21/2020,Bihar,1674,10,571
5/22/2020,Bihar,1982,11,593
5/23/2020,Bihar,2177,11,629
5/24/2020,Bihar,2380,11,653
5/25/2020,Bihar,2587,13,702
5/26/2020,Bihar,2730,13,749
5/27/2020,Bihar,2983,13,900
5/28/2020,Bihar,3061,15,1083
5/29/2020,Bihar,3296,15,1211
5/30/2020,Bihar,3376,15,1211
5/31/2020,Bihar,3636,20,1618
6/1/2020,Bihar,3815,21,1710
6/2/2020,Bihar,3926,24,1900
6/3/2020,Bihar,4155,24,1946
6/4/2020,Bihar,4390,25,2077
6/5/2020,Bihar,4493,29,2210
6/6/2020,Bihar,4596,29,2225
6/7/2020,Bihar,4915,30,2425
6/8/2020,Bihar,5088,30,2480
6/9/2020,Bihar,5202,31,2499
6/10/2020,Bihar,5459,32,2864
6/11/2020,Bihar,5710,33,3071
6/12/2020,Bihar,5983,36,3266
6/13/2020,Bihar,6103,36,3587
6/14/2020,Bihar,6290,39,3956
6/15/2020,Bihar,6470,39,4170
6/16/2020,Bihar,6650,40,4409
6/17/2020,Bihar,6778,41,4644
6/18/2020,Bihar,6942,44,4926
6/19/2020,Bihar,7025,44,5056
6/20/2020,Bihar,7181,50,5098
6/21/2020,Bihar,7533,52,5529
6/22/2020,Bihar,7612,53,5580
6/23/2020,Bihar,7825,55,5781
6/24/2020,Bihar,8153,56,6104
6/25/2020,Bihar,8209,57,6113
6/27/2020,Bihar,8716,58,6762
6/28/2020,Bihar,8931,59,6843
6/29/2020,Bihar,9212,60,7118
6/30/2020,Bihar,9640,62,7390
7/2/2020,Bihar,10249,70,7946
7/3/2020,Bihar,10471,77,8020
7/5/2020,Bihar,11700,89,8686
7/7/2020,Bihar,12125,97,8997
7/8/2020,Bihar,12570,104,9284
7/9/2020,Bihar,13189,107,9554
7/10/2020,Bihar,13944,115,9816
7/11/2020,Bihar,14575,119,10109
7/12/2020,Bihar,15373,131,10685
7/13/2020,Bihar,16642,143,11498
7/14/2020,Bihar,17959,160,12317
7/15/2020,Bihar,19284,174,12849
7/16/2020,Bihar,20612,180,13462
7/17/2020,Bihar,20612,180,13462
7/19/2020,Bihar,25136,208,15536
7/20/2020,Bihar,26569,217,16308
7/21/2020,Bihar,27646,217,17433
7/22/2020,Bihar,28952,217,18515
7/23/2020,Bihar,30369,217,19646
7/24/2020,Bihar,31980,217,20769
7/25/2020,Bihar,33926,220,22343
7/26/2020,Bihar,36604,234,24053
7/27/2020,Bihar,39176,244,25815
