State,Active,Cured,Deceased,Confirmed,Population
Andaman and Nicobar Islands,58,163,0,221,380581
Andhra Pradesh,31763,32127,823,64713,49577103
Arunachal Pradesh,632,314,3,949,1383727
Assam,8675,18033,64,26772,31205576
Bihar,10506,19646,217,30369,104099452
Chandigarh,254,526,13,793,1055450
Chhattisgarh,1709,4230,29,5968,25545198
Dadra and Nagar Haveli and Daman and Diu,257,474,2,733,585764
Delhi,14954,107650,3719,126323,16787941
Goa,1607,2541,28,4176,1458545
Gujarat,11915,37260,2224,51399,60439692
Haryana,6117,21697,372,28186,25351462
Himachal Pradesh,609,1105,11,1725,6864602
Jammu and Kashmir,6831,8607,273,15711,12267032
Jharkhand,3397,3024,64,6485,32988134
Karnataka,47075,27239,1519,75833,61095297
Kerala,8825,6162,45,15032,33406061
Ladakh,186,1018,2,1206,274000
Madhya Pradesh,7236,16836,770,24842,72626809
Maharashtra,137282,187769,12556,337607,112374333
Manipur,632,1428,0,2060,2570390
Meghalaya,433,77,4,514,2966889
Mizoram,138,179,0,317,1097206
Nagaland,598,486,0,1084,1978502
Odisha,5977,13750,108,19835,41974219
Puducherry,900,1369,31,2300,1247953
Punjab,3391,7641,269,11301,27743338
Rajasthan,8387,23364,583,32334,68548437
Sikkim,326,112,0,438,610577
Tamil Nadu,51765,131583,3144,186492,72147030
Telangana,11155,37666,438,49259,35003674
Tripura,1408,2032,9,3449,3673917
Uttarakhand,1894,3349,57,5300,199812341
Uttar Pradesh,20825,33500,1263,55588,10086292
West Bengal,18450,29650,1221,49321,91276115
