Date,State,Confirmed,Death,Cured
4/1/2020,Jharkhand,1,0,0
4/2/2020,Jharkhand,1,0,0
4/3/2020,Jharkhand,2,0,0
4/4/2020,Jharkhand,2,0,0
4/5/2020,Jharkhand,2,0,0
4/6/2020,Jharkhand,3,0,0
4/7/2020,Jharkhand,4,0,0
4/8/2020,Jharkhand,4,0,0
4/9/2020,Jharkhand,4,0,0
4/10/2020,Jharkhand,13,1,0
4/11/2020,Jharkhand,14,1,0
4/12/2020,Jharkhand,17,1,0
4/13/2020,Jharkhand,19,2,0
4/14/2020,Jharkhand,24,2,0
4/15/2020,Jharkhand,27,2,0
4/16/2020,Jharkhand,28,2,0
4/17/2020,Jharkhand,29,2,0
4/18/2020,Jharkhand,33,2,0
4/19/2020,Jharkhand,34,2,0
4/20/2020,Jharkhand,42,2,0
4/21/2020,Jharkhand,46,2,0
4/22/2020,Jharkhand,45,3,0
4/23/2020,Jharkhand,49,3,8
4/24/2020,Jharkhand,53,3,8
4/25/2020,Jharkhand,57,3,8
4/26/2020,Jharkhand,67,3,13
4/27/2020,Jharkhand,82,3,13
4/28/2020,Jharkhand,82,3,13
4/29/2020,Jharkhand,103,3,17
4/30/2020,Jharkhand,107,3,19
5/1/2020,Jharkhand,109,3,20
5/2/2020,Jharkhand,111,3,20
5/3/2020,Jharkhand,115,3,22
5/4/2020,Jharkhand,115,3,22
5/5/2020,Jharkhand,115,3,27
5/6/2020,Jharkhand,125,3,33
5/7/2020,Jharkhand,127,3,37
5/8/2020,Jharkhand,132,3,41
5/9/2020,Jharkhand,132,3,52
5/10/2020,Jharkhand,156,3,78
5/11/2020,Jharkhand,157,3,78
5/12/2020,Jharkhand,160,3,78
5/13/2020,Jharkhand,172,3,79
5/14/2020,Jharkhand,173,3,79
5/15/2020,Jharkhand,197,3,87
5/16/2020,Jharkhand,203,3,87
5/17/2020,Jharkhand,217,3,113
5/18/2020,Jharkhand,223,3,113
5/19/2020,Jharkhand,223,3,113
5/20/2020,Jharkhand,231,3,127
5/21/2020,Jharkhand,231,3,127
5/22/2020,Jharkhand,290,3,129
5/23/2020,Jharkhand,308,3,136
5/24/2020,Jharkhand,350,4,141
5/25/2020,Jharkhand,370,4,148
5/26/2020,Jharkhand,377,4,148
5/27/2020,Jharkhand,426,4,175
5/28/2020,Jharkhand,448,4,185
5/29/2020,Jharkhand,469,4,212
5/30/2020,Jharkhand,511,5,216
5/31/2020,Jharkhand,563,5,256
6/1/2020,Jharkhand,610,5,256
6/2/2020,Jharkhand,659,5,296
6/3/2020,Jharkhand,712,5,320
6/4/2020,Jharkhand,752,5,321
6/5/2020,Jharkhand,793,6,354
6/6/2020,Jharkhand,881,7,410
6/7/2020,Jharkhand,1000,7,473
6/8/2020,Jharkhand,1099,7,490
6/9/2020,Jharkhand,1256,7,519
6/10/2020,Jharkhand,1411,8,559
6/11/2020,Jharkhand,1489,8,592
6/12/2020,Jharkhand,1599,8,630
6/13/2020,Jharkhand,1617,8,672
6/14/2020,Jharkhand,1711,8,816
6/15/2020,Jharkhand,1745,8,905
6/16/2020,Jharkhand,1763,8,905
6/17/2020,Jharkhand,1839,9,1121
6/18/2020,Jharkhand,1895,10,1151
6/19/2020,Jharkhand,1920,11,1198
6/20/2020,Jharkhand,1965,11,1332
6/21/2020,Jharkhand,1965,11,1335
6/22/2020,Jharkhand,2073,11,1406
6/23/2020,Jharkhand,2137,11,1469
6/24/2020,Jharkhand,2185,11,1520
6/25/2020,Jharkhand,2207,11,1570
6/27/2020,Jharkhand,2290,12,1643
6/28/2020,Jharkhand,2339,12,1724
6/29/2020,Jharkhand,2364,12,1793
6/30/2020,Jharkhand,2426,15,1845
7/2/2020,Jharkhand,2521,15,1931
7/3/2020,Jharkhand,2584,15,1983
7/5/2020,Jharkhand,2739,17,2035
7/7/2020,Jharkhand,2847,20,2068
7/8/2020,Jharkhand,2996,22,2104
7/9/2020,Jharkhand,3096,22,2170
7/10/2020,Jharkhand,3246,23,2208
7/11/2020,Jharkhand,3419,23,2224
7/12/2020,Jharkhand,3613,23,2243
7/13/2020,Jharkhand,3756,30,2308
7/14/2020,Jharkhand,3898,33,2351
7/15/2020,Jharkhand,4091,36,2427
7/16/2020,Jharkhand,4320,38,2485
7/17/2020,Jharkhand,4320,38,2485
7/19/2020,Jharkhand,5342,46,2611
7/20/2020,Jharkhand,5535,49,2716
7/21/2020,Jharkhand,5756,53,2810
7/22/2020,Jharkhand,6159,55,2904
7/23/2020,Jharkhand,6485,64,3024
7/24/2020,Jharkhand,6975,67,3174
7/25/2020,Jharkhand,7493,70,3307
7/26/2020,Jharkhand,7836,82,3425
7/27/2020,Jharkhand,8275,85,3704
