Date,Confirmed,Deceased,Recovered,State_Name
1-Jun-20,26,0,40,Jharkhand
2-Jun-20,61,0,0,Jharkhand
3-Jun-20,42,0,1,Jharkhand
4-Jun-20,63,1,69,Jharkhand
5-Jun-20,95,1,69,Jharkhand
6-Jun-20,106,0,38,Jharkhand
7-Jun-20,75,0,17,Jharkhand
8-Jun-20,187,0,29,Jharkhand
9-Jun-20,126,1,40,Jharkhand
10-Jun-20,135,0,33,Jharkhand
11-Jun-20,48,0,38,Jharkhand
12-Jun-20,57,0,55,Jharkhand
13-Jun-20,55,0,131,Jharkhand
14-Jun-20,52,0,89,Jharkhand
15-Jun-20,30,1,95,Jharkhand
16-Jun-20,46,0,121,Jharkhand
17-Jun-20,57,1,30,Jharkhand
18-Jun-20,23,1,47,Jharkhand
19-Jun-20,42,0,137,Jharkhand
20-Jun-20,63,0,69,Jharkhand
21-Jun-20,74,0,2,Jharkhand
22-Jun-20,42,0,63,Jharkhand
23-Jun-20,53,0,51,Jharkhand
24-Jun-20,26,1,55,Jharkhand
25-Jun-20,44,0,30,Jharkhand
26-Jun-20,31,0,42,Jharkhand
27-Jun-20,45,0,77,Jharkhand
28-Jun-20,25,0,69,Jharkhand
29-Jun-20,62,3,56,Jharkhand
30-Jun-20,64,0,35,Jharkhand
1-Jul-20,35,0,47,Jharkhand
2-Jul-20,60,0,57,Jharkhand
3-Jul-20,112,0,13,Jharkhand
4-Jul-20,42,3,34,Jharkhand
5-Jul-20,68,1,10,Jharkhand
6-Jul-20,47,1,23,Jharkhand
7-Jul-20,164,2,36,Jharkhand
8-Jul-20,116,0,66,Jharkhand
9-Jul-20,134,1,40,Jharkhand
10-Jul-20,250,0,14,Jharkhand
11-Jul-20,145,1,32,Jharkhand
12-Jul-20,97,7,52,Jharkhand
13-Jul-20,203,2,43,Jharkhand
14-Jul-20,262,3,77,Jharkhand
15-Jul-20,337,2,57,Jharkhand
