Date,State,Confirmed,Death,Cured
7/2/2020,Bihar,10249,70,7946
7/3/2020,Bihar,10471,77,8020
7/5/2020,Bihar,11700,89,8686
7/7/2020,Bihar,12125,97,8997
7/8/2020,Bihar,12570,104,9284
7/9/2020,Bihar,13189,107,9554
7/10/2020,Bihar,13944,115,9816
7/11/2020,Bihar,14575,119,10109
7/12/2020,Bihar,15373,131,10685
7/13/2020,Bihar,16642,143,11498
7/14/2020,Bihar,17959,160,12317
7/15/2020,Bihar,19284,174,12849
7/16/2020,Bihar,20612,180,13462
7/17/2020,Bihar,20612,180,13462
7/19/2020,Bihar,25136,208,15536
7/20/2020,Bihar,26569,217,16308
7/21/2020,Bihar,27646,217,17433
7/22/2020,Bihar,28952,217,18515
7/23/2020,Bihar,30369,217,19646
7/24/2020,Bihar,31980,217,20769
7/25/2020,Bihar,33926,220,22343
7/26/2020,Bihar,36604,234,24053
7/27/2020,Bihar,39176,244,25815
