Date,State,Confirmed,Death,Cured
6/1/2020,Bihar,3815,21,1710
6/2/2020,Bihar,3926,24,1900
6/3/2020,Bihar,4155,24,1946
6/4/2020,Bihar,4390,25,2077
6/5/2020,Bihar,4493,29,2210
6/6/2020,Bihar,4596,29,2225
6/7/2020,Bihar,4915,30,2425
6/8/2020,Bihar,5088,30,2480
6/9/2020,Bihar,5202,31,2499
6/10/2020,Bihar,5459,32,2864
6/11/2020,Bihar,5710,33,3071
6/12/2020,Bihar,5983,36,3266
6/13/2020,Bihar,6103,36,3587
6/14/2020,Bihar,6290,39,3956
6/15/2020,Bihar,6470,39,4170
6/16/2020,Bihar,6650,40,4409
6/17/2020,Bihar,6778,41,4644
6/18/2020,Bihar,6942,44,4926
6/19/2020,Bihar,7025,44,5056
6/20/2020,Bihar,7181,50,5098
6/21/2020,Bihar,7533,52,5529
6/22/2020,Bihar,7612,53,5580
6/23/2020,Bihar,7825,55,5781
6/24/2020,Bihar,8153,56,6104
6/25/2020,Bihar,8209,57,6113
6/27/2020,Bihar,8716,58,6762
6/28/2020,Bihar,8931,59,6843
6/29/2020,Bihar,9212,60,7118
6/30/2020,Bihar,9640,62,7390
