Date,State,Confirmed,Death,Cured
5/1/2020,Bihar,418,2,82
5/2/2020,Bihar,471,3,98
5/3/2020,Bihar,481,4,107
5/4/2020,Bihar,503,4,125
5/5/2020,Bihar,528,4,130
5/6/2020,Bihar,536,4,142
5/7/2020,Bihar,542,4,188
5/8/2020,Bihar,550,5,246
5/9/2020,Bihar,571,5,297
5/10/2020,Bihar,591,5,322
5/11/2020,Bihar,696,6,365
5/12/2020,Bihar,747,6,377
5/13/2020,Bihar,831,6,383
5/14/2020,Bihar,940,7,388
5/15/2020,Bihar,994,7,411
5/16/2020,Bihar,1018,7,438
5/17/2020,Bihar,1179,7,453
5/18/2020,Bihar,1262,8,475
5/19/2020,Bihar,1391,9,494
5/20/2020,Bihar,1498,9,534
5/21/2020,Bihar,1674,10,571
5/22/2020,Bihar,1982,11,593
5/23/2020,Bihar,2177,11,629
5/24/2020,Bihar,2380,11,653
5/25/2020,Bihar,2587,13,702
5/26/2020,Bihar,2730,13,749
5/27/2020,Bihar,2983,13,900
5/28/2020,Bihar,3061,15,1083
5/29/2020,Bihar,3296,15,1211
5/30/2020,Bihar,3376,15,1211
5/31/2020,Bihar,3636,20,1618
