Date,Confirmed,Deceased,Recovered,State_Name
1-Jun-20,286,5,187,Uttar Pradesh
2-Jun-20,368,7,146,Uttar Pradesh
3-Jun-20,141,1,81,Uttar Pradesh
4-Jun-20,367,15,182,Uttar Pradesh
5-Jun-20,496,12,209,Uttar Pradesh
6-Jun-20,370,11,260,Uttar Pradesh
7-Jun-20,433,7,277,Uttar Pradesh
8-Jun-20,411,8,159,Uttar Pradesh
9-Jun-20,388,18,325,Uttar Pradesh
10-Jun-20,275,20,302,Uttar Pradesh
11-Jun-20,478,24,321,Uttar Pradesh
12-Jun-20,528,20,317,Uttar Pradesh
13-Jun-20,502,20,266,Uttar Pradesh
14-Jun-20,497,14,393,Uttar Pradesh
15-Jun-20,476,18,342,Uttar Pradesh
16-Jun-20,507,18,294,Uttar Pradesh
17-Jun-20,583,30,335,Uttar Pradesh
18-Jun-20,604,23,399,Uttar Pradesh
19-Jun-20,809,19,357,Uttar Pradesh
20-Jun-20,541,22,374,Uttar Pradesh
21-Jun-20,596,21,626,Uttar Pradesh
22-Jun-20,591,19,606,Uttar Pradesh
23-Jun-20,571,19,515,Uttar Pradesh
24-Jun-20,664,8,470,Uttar Pradesh
25-Jun-20,636,15,533,Uttar Pradesh
26-Jun-20,750,19,464,Uttar Pradesh
27-Jun-20,606,19,632,Uttar Pradesh
28-Jun-20,598,11,593,Uttar Pradesh
29-Jun-20,681,12,698,Uttar Pradesh
30-Jun-20,664,25,578,Uttar Pradesh
1-Jul-20,564,21,545,Uttar Pradesh
2-Jul-20,769,17,592,Uttar Pradesh
3-Jul-20,972,14,376,Uttar Pradesh
4-Jul-20,757,24,557,Uttar Pradesh
5-Jul-20,1153,12,607,Uttar Pradesh
6-Jul-20,929,24,348,Uttar Pradesh
7-Jul-20,1332,18,518,Uttar Pradesh
8-Jul-20,1188,18,704,Uttar Pradesh
9-Jul-20,1206,17,796,Uttar Pradesh
10-Jul-20,1338,27,660,Uttar Pradesh
11-Jul-20,1392,24,902,Uttar Pradesh
12-Jul-20,1384,21,645,Uttar Pradesh
13-Jul-20,1654,21,869,Uttar Pradesh
14-Jul-20,1594,28,778,Uttar Pradesh
15-Jul-20,1659,29,762,Uttar Pradesh
