Date,State,Confirmed,Death,Cured
3/4/2020,Uttar Pradesh,6,0,0
3/5/2020,Uttar Pradesh,7,0,0
3/6/2020,Uttar Pradesh,7,0,0
3/7/2020,Uttar Pradesh,7,0,0
3/8/2020,Uttar Pradesh,7,0,0
3/9/2020,Uttar Pradesh,7,0,0
3/10/2020,Uttar Pradesh,7,0,0
3/11/2020,Uttar Pradesh,9,0,0
3/12/2020,Uttar Pradesh,11,0,0
3/13/2020,Uttar Pradesh,11,0,0
3/14/2020,Uttar Pradesh,12,0,5
3/15/2020,Uttar Pradesh,13,0,4
3/16/2020,Uttar Pradesh,13,0,4
3/17/2020,Uttar Pradesh,15,0,5
3/18/2020,Uttar Pradesh,16,0,5
3/19/2020,Uttar Pradesh,19,0,9
3/20/2020,Uttar Pradesh,19,0,9
3/21/2020,Uttar Pradesh,24,0,9
3/22/2020,Uttar Pradesh,27,0,9
3/23/2020,Uttar Pradesh,31,0,9
3/24/2020,Uttar Pradesh,33,0,11
3/25/2020,Uttar Pradesh,37,0,11
3/26/2020,Uttar Pradesh,41,0,11
3/27/2020,Uttar Pradesh,41,0,11
3/28/2020,Uttar Pradesh,55,0,11
3/29/2020,Uttar Pradesh,55,0,11
3/30/2020,Uttar Pradesh,75,0,11
3/31/2020,Uttar Pradesh,101,0,14
4/1/2020,Uttar Pradesh,103,2,14
4/2/2020,Uttar Pradesh,113,2,14
4/3/2020,Uttar Pradesh,113,2,14
4/4/2020,Uttar Pradesh,174,2,19
4/5/2020,Uttar Pradesh,227,2,19
4/6/2020,Uttar Pradesh,227,2,19
4/7/2020,Uttar Pradesh,305,3,21
4/8/2020,Uttar Pradesh,326,3,21
4/9/2020,Uttar Pradesh,361,4,27
4/10/2020,Uttar Pradesh,410,4,31
4/11/2020,Uttar Pradesh,431,4,32
4/12/2020,Uttar Pradesh,452,5,45
4/13/2020,Uttar Pradesh,483,5,46
4/14/2020,Uttar Pradesh,657,5,49
4/15/2020,Uttar Pradesh,660,5,50
4/16/2020,Uttar Pradesh,735,11,51
4/17/2020,Uttar Pradesh,846,14,74
4/18/2020,Uttar Pradesh,849,14,82
4/19/2020,Uttar Pradesh,969,14,86
4/20/2020,Uttar Pradesh,1084,17,108
4/21/2020,Uttar Pradesh,1184,18,140
4/22/2020,Uttar Pradesh,1294,20,140
4/23/2020,Uttar Pradesh,1449,21,173
4/24/2020,Uttar Pradesh,1510,24,206
4/25/2020,Uttar Pradesh,1621,25,247
4/26/2020,Uttar Pradesh,1843,29,289
4/27/2020,Uttar Pradesh,1868,29,289
4/28/2020,Uttar Pradesh,1955,31,335
4/29/2020,Uttar Pradesh,2053,34,462
4/30/2020,Uttar Pradesh,2134,39,510
5/1/2020,Uttar Pradesh,2203,39,513
5/2/2020,Uttar Pradesh,2328,42,654
5/3/2020,Uttar Pradesh,2487,43,689
5/4/2020,Uttar Pradesh,2645,43,754
5/5/2020,Uttar Pradesh,2766,50,802
5/6/2020,Uttar Pradesh,2880,56,987
5/7/2020,Uttar Pradesh,2998,60,1130
5/8/2020,Uttar Pradesh,3071,62,1250
5/9/2020,Uttar Pradesh,3214,66,1387
5/10/2020,Uttar Pradesh,3373,74,1499
5/11/2020,Uttar Pradesh,3467,74,1653
5/12/2020,Uttar Pradesh,3573,80,1758
5/13/2020,Uttar Pradesh,3664,82,1873
5/14/2020,Uttar Pradesh,3729,83,1902
5/15/2020,Uttar Pradesh,3902,88,2072
5/16/2020,Uttar Pradesh,4057,95,2165
5/17/2020,Uttar Pradesh,4258,104,2441
5/18/2020,Uttar Pradesh,4259,104,2441
5/19/2020,Uttar Pradesh,4605,118,2783
5/20/2020,Uttar Pradesh,4926,123,2918
5/21/2020,Uttar Pradesh,5175,127,3066
5/22/2020,Uttar Pradesh,5515,138,3204
5/23/2020,Uttar Pradesh,5735,152,3238
5/24/2020,Uttar Pradesh,6017,155,3406
5/25/2020,Uttar Pradesh,6268,161,3538
5/26/2020,Uttar Pradesh,6532,165,3581
5/27/2020,Uttar Pradesh,6548,170,3698
5/28/2020,Uttar Pradesh,6991,182,3991
5/29/2020,Uttar Pradesh,7170,197,4215
5/30/2020,Uttar Pradesh,7284,198,4244
5/31/2020,Uttar Pradesh,7445,201,4410
6/1/2020,Uttar Pradesh,7823,213,4709
6/2/2020,Uttar Pradesh,8075,217,4843
6/3/2020,Uttar Pradesh,8361,222,5030
6/4/2020,Uttar Pradesh,8729,229,5176
6/5/2020,Uttar Pradesh,9237,245,5439
