Date,Confirmed,Deceased,Recovered,State_Name
1-Jun-20,271,8,149,West Bengal
2-Jun-20,396,10,104,West Bengal
3-Jun-20,340,10,170,West Bengal
4-Jun-20,368,10,188,West Bengal
5-Jun-20,427,11,144,West Bengal
6-Jun-20,435,17,207,West Bengal
7-Jun-20,449,13,184,West Bengal
8-Jun-20,426,9,162,West Bengal
9-Jun-20,372,10,155,West Bengal
10-Jun-20,343,17,159,West Bengal
11-Jun-20,440,10,209,West Bengal
12-Jun-20,476,9,218,West Bengal
13-Jun-20,454,12,336,West Bengal
14-Jun-20,389,12,518,West Bengal
15-Jun-20,407,10,434,West Bengal
16-Jun-20,415,10,534,West Bengal
17-Jun-20,391,11,505,West Bengal
18-Jun-20,435,12,468,West Bengal
19-Jun-20,355,11,302,West Bengal
20-Jun-20,441,11,562,West Bengal
21-Jun-20,414,15,432,West Bengal
22-Jun-20,413,14,390,West Bengal
23-Jun-20,370,11,531,West Bengal
24-Jun-20,445,11,484,West Bengal
25-Jun-20,475,15,488,West Bengal
26-Jun-20,542,10,345,West Bengal
27-Jun-20,521,13,254,West Bengal
28-Jun-20,572,10,404,West Bengal
29-Jun-20,624,14,526,West Bengal
30-Jun-20,652,15,411,West Bengal
1-Jul-20,611,15,398,West Bengal
2-Jul-20,649,16,509,West Bengal
3-Jul-20,669,18,534,West Bengal
4-Jul-20,743,19,595,West Bengal
5-Jul-20,895,21,545,West Bengal
6-Jul-20,861,22,524,West Bengal
7-Jul-20,850,25,555,West Bengal
8-Jul-20,986,23,501,West Bengal
9-Jul-20,1088,27,535,West Bengal
10-Jul-20,1198,26,522,West Bengal
11-Jul-20,1344,26,611,West Bengal
12-Jul-20,1560,26,622,West Bengal
13-Jul-20,1435,24,632,West Bengal
14-Jul-20,1390,24,718,West Bengal
15-Jul-20,1589,20,749,West Bengal
