Date,State,Confirmed,Death,Cured
3/22/2020,Bihar,2,1,0
3/29/2020,Bihar,9,1,0
4/5/2020,Bihar,30,1,0
4/12/2020,Bihar,63,1,0
4/19/2020,Bihar,86,2,37
4/26/2020,Bihar,243,2,46
5/3/2020,Bihar,481,4,107
5/10/2020,Bihar,591,5,322
5/17/2020,Bihar,1179,7,453
5/24/2020,Bihar,2380,11,653
5/31/2020,Bihar,3636,20,1618
6/7/2020,Bihar,4915,30,2425
6/14/2020,Bihar,6290,39,3956
6/21/2020,Bihar,7533,52,5529
6/28/2020,Bihar,8931,59,6843
7/5/2020,Bihar,11700,89,8686
7/12/2020,Bihar,15373,131,10685
7/17/2020,Bihar,20612,180,13462
7/24/2020,Bihar,31980,217,20769
